# Logger type: CL2000
# HW rev: 7.xx
# FW rev: 5.75
# Logger ID: id0001
# Session No.: 130
# Split No.: 1
# Time: 20000101T070605
# Value separator: ";"
# Time format: 6
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: ""
# Bit-rate: 250000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
20000101070605221;1;10ff50f4;116d01288b000005
20000101070605222;1;18ff54f4;0000000000000000
20000101070605323;1;10ff50f4;116d01288b000006
20000101070605324;1;18ff51f4;0000000000000000
20000101070605325;1;18ff52f4;0000000000000000
20000101070605326;1;18ff53f4;0000000000000000
20000101070605327;1;18ff54f4;0000000000000000
20000101070605428;1;10ff50f4;116d01288b000007
20000101070605429;1;18ff54f4;0000000000000000
20000101070605530;1;10ff50f4;193201beca000008
20000101070605531;1;18ff51f4;0000000000000000
20000101070605532;1;18ff52f4;0000000000000000
20000101070605533;1;18ff53f4;0000000000000000
20000101070605534;1;18ff54f4;0000000000000000
20000101070605635;1;10ff50f4;193201beca000009
20000101070605636;1;18ff54f4;0000000000000000
20000101070605737;1;10ff50f4;193201beca00000a
20000101070605738;1;18ff51f4;0000000000000000
20000101070605739;1;18ff52f4;0000000000000000
20000101070605740;1;18ff53f4;0000000000000000
20000101070605741;1;18ff54f4;0000000000000000
20000101070605842;1;10ff50f4;193201beca00000b
20000101070605843;1;18ff54f4;0000000000000000
20000101070605944;1;10ff50f4;113701d48a00000c
20000101070605945;1;18ff51f4;0000000000000000
20000101070605946;1;18ff52f4;0000000000000000
20000101070605947;1;18ff53f4;0000000000000000
20000101070605948;1;18ff54f4;0000000000000000
20000101070606049;1;10ff50f4;113701d48a00000d
20000101070606050;1;18ff54f4;0000000000000000
20000101070606151;1;10ff50f4;113701d48a00000e
20000101070606152;1;18ff51f4;0000000000000000
20000101070606153;1;18ff52f4;0000000000000000
20000101070606154;1;18ff53f4;0000000000000000
20000101070606155;1;18ff54f4;0000000000000000
20000101070606256;1;10ff50f4;113701d48a00000f
20000101070606257;1;18ff54f4;0000000000000000
20000101070606358;1;10ff50f4;1e6d018df3000010
20000101070606359;1;18ff51f4;0000000000000000
20000101070606360;1;18ff52f4;0000000000000000
20000101070606361;1;18ff53f4;0000000000000000
20000101070606362;1;18ff54f4;0000000000000000
20000101070606463;1;10ff50f4;1e6d018df3000011
20000101070606464;1;18ff54f4;0000000000000000
20000101070606565;1;10ff50f4;1e6d018df3000012
20000101070606566;1;18ff51f4;0000000000000000
20000101070606567;1;18ff52f4;0000000000000000
20000101070606568;1;18ff53f4;0000000000000000
20000101070606569;1;18ff54f4;0000000000000000
20000101070606670;1;10ff50f4;1e6d018df3000013
20000101070606671;1;18ff54f4;0000000000000000
20000101070606772;1;10ff50f4;12f4013c98000014
20000101070606773;1;18ff51f4;0000000000000000
20000101070606774;1;18ff52f4;0000000000000000
20000101070606775;1;18ff53f4;0000000000000000
20000101070606776;1;18ff54f4;0000000000000000
20000101070606877;1;10ff50f4;12f4013c98000015
20000101070606878;1;18ff54f4;0000000000000000
20000101070606979;1;10ff50f4;12f4013c98000016
20000101070606980;1;18ff51f4;0000000000000000
20000101070606981;1;18ff52f4;0000000000000000
20000101070606982;1;18ff53f4;0000000000000000
20000101070606983;1;18ff54f4;0000000000000000
20000101070607084;1;10ff50f4;12f4013c98000017
20000101070607085;1;18ff54f4;0000000000000000
20000101070607186;1;10ff50f4;1a4c016ad2000018
20000101070607187;1;18ff51f4;0000000000000000
20000101070607188;1;18ff52f4;0000000000000000
20000101070607189;1;18ff53f4;0000000000000000
20000101070607190;1;18ff54f4;0000000000000000
20000101070607291;1;10ff50f4;1a4c016ad2000019
20000101070607292;1;18ff54f4;0000000000000000
20000101070607393;1;10ff50f4;1a4c016ad200001a
20000101070607394;1;18ff51f4;0000000000000000
20000101070607395;1;18ff52f4;0000000000000000
20000101070607396;1;18ff53f4;0000000000000000
20000101070607397;1;18ff54f4;0000000000000000
